"Timestamp";"FESTIVAL NAME";"FESTIVAL START DATE";"How many days?";"Location - City";"Website ";"Music Genre";"Festival setting";"Facebook Fanpage URL";"Twitter accountname";"Administrative contact name";"Administrative contact e-mail";"Twitter HashTag #";"Picassa photo album";"Flicker photo album";"Youtube video channel";"Administrative contact telephone"
"3/26/2012 12:15:52";"Test festival";"1/5/2012";1;"Antwerpen";"http://www.grin.be";"Rock";"Field / Meadow";;;"Wim Wouters";"wim@grin.be";;;;;"0479 6789 96"
"5/3/2012 21:45:29";"Absolutely Free Festival";"3/8/2012";2;"C-Mine - Genk";"http://www.kissmyaff.be";"Rock, alternative, alt-country, psychedelic, dance";"Field / Meadow";"https://www.facebook.com/AbsolutelyFreeFestival";"http://twitter.com/kissmyaffgenk";"Timmy Haubrechts";"timmy@absolutelyfree.be";"#kissmyaff";;;;"0496 / 65 14 94"
"5/3/2012 22:14:47";"Win for Life Suikerrock";"26/07/2012";4;"Tienen";"http://www.winforlifesuikerrock.be";"Rock";"City / Town";"http://www.facebook.com/suikerrock";"suikerrock";"Stefaan Wouters";"stefaan@suikerrock.be";"#suikerrock";;"http://www.flickr.com/photos/suikerrock2011";;
"5/3/2012 22:20:51";"Wereldfestival van Folklore Schoten";"6/7/0212";5;"Schoten";"http://www.schoten.be";"Folklore";"City / Town";;;"Marcel Vervoort";"info@festivalschoten.be";;;;;
"5/3/2012 22:46:51";"Retie Rockt";"22/09/2012";1;"Retie";"http://www.retierockt.be";"Rock";"Field / Meadow";"https://www.facebook.com/#!/retierockt";"RetieRockt";"Charlotte Spooren";"info@retierockt.be";;;;;"+32 474 26 58 86"
"5/4/2012 8:02:00";"Festival van de Ambiance";"1/12/2012";1;"Gent";"http://www.festivalvandeambiance.be";"Pop";"Concertzaal ";"https://www.facebook.com/FestivalVanDeAmbiance";"https://twitter.com/#!/FestivalvdAmbia";"Annelies Valepyn";"info@festivalvandeambiance.be";"#FDVA";;;"http://www.youtube.com/user/FestivalAmbiance?ob=0&feature=results_main";"0474 37 27 45"
"5/4/2012 9:00:29";"Rio Rock";"12/5/2012";1;"Ham";"http://www.riorock.be";"punkrock/hardcore";"Field / Meadow";"http://www.facebook.com/pages/Rio-Rock-fanpage/168102899887170?sk=info";;"Jeroen Imbrechts";"jeroen@riorock.be";;;;;474321376
"5/4/2012 9:00:39";"Maanrock";"25/08/2012";2;"Mechelen";"www.maanrock.be";"Rock";"City / Town";"https://www.facebook.com/#!/groups/63897693648/";"Maanrock";"Ann Palstermans";"mechelse.feesten@mechelen.be";"#Maanrock";;;;15297868
"5/4/2012 9:22:48";"Musicalia Festival";"15/07/2012";5;"Gent";"http://www.musicaliamusic.be";"World";"Church";"https://www.facebook.com/pages/Musicalia-Festival/154447197956967";;"info@musicaliamusic.be";"debockcc@yahoo.com";;;;;497938808
"5/4/2012 9:25:28";"ANTILLIAANSE FEESTEN";"10/8/2012";2;"HOOGSTRATEN";"http://www.antilliaansefeesten.be";"Caribbean Festival";"Field / Meadow";"http://www.facebook.com/pages/Antilliaanse-feesten/112970158735517";;"Lode Verschueren";"Lode Verschueren";;;;;"03 3143732"
"5/4/2012 9:39:37";"CrammerocK";"31-08-2012";2;"Stekene";"http://www.crammerock.be";"Rock";"Field / Meadow";"http://www.facebook.com/Crammerock";"crammerock";"Davey Rogiest";"davey@crammerock.be";"#CR12";;;;32479518018
"5/4/2012 9:41:55";"Ghent Festival of Flanders (Gent Festival van Vlaanderen)";"15/09/2012";5;"Ghent - East Flanders";"http://www.gentfestival.be";"Classical";"City / Town";"https://www.facebook.com/pages/Gent-Festival-van-Vlaanderen/149816345042835#!/gentfestivalvanvlaanderen";"Gent Festival";"Christoph Vancalbergh";"gent@festival.be";"#gentfestival";;"http://www.flickr.com/photos/42664385@N05/";"http://www.youtube.com/user/GentFestival";"09/243.94.94"
"5/4/2012 9:57:19";"KlaraFestival";"31/08/2012";5;"Brussels - Antwerp - Bruges";"www.klarafestival.be";"Classical";"City / Town";"http://www.facebook.com/#!/pages/Klarafestival/113185702038620";"https://twitter.com/#!/klarafestival";"Festival van Vlaanderen Brussel";"info@festivalbrxl.be";"#klarafest";;"www.flickr.com/photos/klarafestival";"www.youtube.com/klarafestival";"0032 2 548 95 95"
"5/4/2012 11:39:22";"WOOSHA!";"14/07/2012";1;"Oostende";"http://www.woosha.be";"Rock";"Beach / Waterfront";"http://www.facebook.com/wooshaoostende";"@woosha_";"Pieter Hens";"pieter@visitoostende.be";"#woosha12";;;"http://www.youtube.com/user/wooshaostend.";32489317686
"5/4/2012 11:45:48";"Antwerp Open Air";"8/9/2012";1;"Antwerpen";"www.antwerpopenair.be";"Dance";"Woods / Forest";"http://www.facebook.com/events/111186818976052/#!/events/111186818976052/";;"Thomas Wijnen";"thomas@magicplaces.org";;;;;"0478 611 411"
"5/4/2012 12:49:19";"Genk on stage";"22/06/2012";3;"Genk";"http://www.genkonstage.be";"Rock";"City / Town";"http://www.facebook.com/genkonstage";"genkonstage";"Roel Rabijns";"roel.rabijns@genk.be";"#genkonstage";;"http://www.flickr.com/photos/genk-on-stage";"http://www.youtube.com/user/genkonstage2011";"089/654455"
"5/4/2012 14:54:20";"Pukkelpop";"16/08/2012";3;"Hasselt/Kiewit";"http://www.pukkelpop.be";"Rock, Dance, Indie,...";"Field / Meadow";"http://www.facebook.com/pukkelpop";"pukkelpop";"katriengoossens13@hotmail.com";"katrien@pukkelpop.be";"#pkp12";;"http://www.flickr.com/photos/pukkelpop/";"http://www.youtube.com/user/pukkelpopfestival";"0032 11 340502"
"5/4/2012 15:24:48";"MAfestival Brugge";"3/8/2012";5;"Bruges";"http://www.mafestival.be/";"Classical";"City / Town";"https://www.facebook.com/#!/profile.php?id=100002099198811";"MAfestivalBrugg";"Jelle De Ketelbutter";"jelle@mafestival.be";;;"http://www.flickr.com/photos/mafestival";;"050 33 2 83"
"5/4/2012 16:35:58";"Festival Dranouter";"03/08/'12";3;"Dranouter";"http://www.festivaldranouter.be ";"Folk ";"Field / Meadow";"http://www.facebook.com/?ref=tn_tnmn#!/pages/Dranouter-Festival/162252793810361";"https://twitter.com/#!/DranouterFest";"jessica@festivaldranouter.be ";"jessica@festivaldranouter.be";;;;;"+32 57 44 69 33"
"5/4/2012 16:37:41";"ManiFiesta";"21/09/2012";2;"Bredene";"http://manifiesta.be/nl";"Alle stijlen";"Field / Meadow";"https://www.facebook.com/manifiesta.be";"manifiesta";"Hendrik Vermeersch";"info@manifiesta.be";"#manifiesta";;;;"0487 76 83 87"
"5/4/2012 17:00:53";"Festival van Vlaanderen Brussel";"31/08/2012";5;"Brussel";"http://www.klarafestival.be";"Classical";"Concert halls";"KlaraFestival";;"Sophie Detremmerie";"sophie@festival.be";"#klarafest";;"www.flickr.com/photos/klarafestival";"www.youtube.com/klarafestival";"0475 960 424"
"5/4/2012 17:11:32";"Bruksellive";"28/07/1012";1;"Brussel";"http://www.bruksellive.be";"Elektronische muziek";"Park";"http://www.facebook.com/bruksellive";"@bruksellive";"Roeland Grolus";"roeland@bruksellive.be";"#bruksellive";;;"nog niet klaar";"0494/84.20.86"
"5/4/2012 17:32:51";"Slorarock";"19/05/2012";1;"Merksem";"http://www.slorarock.be";"Rock";"City / Town";"www.facebook.com/slorarock";;"Joris Spruyt";"joris@slorarock.be";;;;;494590586
"5/4/2012 18:00:49";"HESTIVAL";"25/08/2012";1;"Heist-op-den-Berg";"www.hestival.be";"Pop";"City / Town";"http://www.facebook.com/#!/Hestival";"http://twitter.com/#!/hestival_heist";"Kristof Van haegenberg";"kristof.van.haegenberg@zwaneberg.be";"#hestival";;;"http://www.youtube.com/hestivalheist";"0032 15 25 07 70"
"5/4/2012 19:03:25";"pOpwijk";"1/9/2012";1;"Opwijk";"http://www.popwijk.be";"Pop";"City / Town";"https://www.facebook.com/#!/popwijk";;"Tom Costers";"info@popwijk.be";;;;"http://www.youtube.com/results?search_query=pOpwijk&oq=pOpwijk&aq=f&aqi=&aql=&gs_l=youtube.3...172.1585.0.2054.7.7.0.0.0.0.87.484.7.7.0...0.0.";"0476/405342"
"5/5/2012 11:02:55";"Lokerse Feesten";"3/8/2012";10;"Lokeren";"www.lokersefeesten.be";"Rock";"City / Town";;"http://twitter.com/#!/lokersefeesten";"Jan Cools";"voorzitter@lokersefeesten.be";;;;;"0497-24 90 03"
"5/5/2012 11:08:53";"Kokopelli Festival";"18/05/2012";3;"Gullegem";"http://www.kokopelli.be";"World";"Field / Meadow";"https://www.facebook.com/kokopelli.01";;"Jelle Stragier";"jellestragier@hotmail.com";"#koko12";;;;498395674
"5/5/2012 14:18:18";"Linkerwoofer";"10/8/2012";2;"Antwerp";"http://www.linkerwoofer.be";"Alternative Pop & Rock";"City / Town";"http://www.facebook.com/linkerwoofer";;"Stijn Doggen";"info@linkerwoofer.be";"#linkerwoofer";;;;
