"Timestamp";"FESTIVAL NAME";"FESTIVAL START DATE";"How many days?";"Location - City";"Website ";"Music Genre";"Festival setting";"Facebook Fanpage URL";"Twitter accountname";"Administrative contact name";"Administrative contact e-mail";"Twitter HashTag #";"Picassa photo album";"Flicker photo album";"Youtube video channel";"Administrative contact telephone"
"3/26/2012 12:15:52";"Test festival";"1/5/2012";1;"Antwerpen";"http://www.grin.be";"Rock";"Field / Meadow";;;"Wim Wouters";"wim@grin.be";;;;;"0479 6789 96"
"5/3/2012 21:45:29";"Absolutely Free Festival";"3/8/2012";2;"C-Mine - Genk";"http://www.kissmyaff.be";"Rock";"Field / Meadow";"https://www.facebook.com/AbsolutelyFreeFestival";"http://twitter.com/kissmyaffgenk";"Timmy Haubrechts";"timmy@absolutelyfree.be";"#kissmyaff";;;;"0496 / 65 14 94"
"5/3/2012 22:14:47";"Win for Life Suikerrock";"26/07/2012";4;"Tienen";"http://www.winforlifesuikerrock.be";"Rock";"City / Town";"http://www.facebook.com/suikerrock";"suikerrock";"Stefaan Wouters";"stefaan@suikerrock.be";"#suikerrock";;"http://api.flickr.com/services/feeds/photos_public.gne?id=65552045@N02&lang=en-us&format=rss_200";;
"5/3/2012 22:20:51";"Wereldfestival van Folklore Schoten";"6/7/0212";5;"Schoten";"http://www.schoten.be";"Folk ";"City / Town";;;"Marcel Vervoort";"info@festivalschoten.be";;;;;
"5/3/2012 22:46:51";"Retie Rockt";"22/09/2012";1;"Retie";"http://www.retierockt.be";"Rock";"Field / Meadow";"https://www.facebook.com/#!/retierockt";"RetieRockt";"Charlotte Spooren";"info@retierockt.be";;;;;"+32 474 26 58 86"
"5/4/2012 8:02:00";"Festival van de Ambiance";"1/12/2012";1;"Gent";"http://www.festivalvandeambiance.be";"Pop";"Concertzaal ";"https://www.facebook.com/FestivalVanDeAmbiance";"https://twitter.com/#!/FestivalvdAmbia";"Annelies Valepyn";"info@festivalvandeambiance.be";"#FDVA";;;"http://www.youtube.com/user/FestivalAmbiance?ob=0&feature=results_main";"0474 37 27 45"
"5/4/2012 9:00:29";"Rio Rock";"12/5/2012";1;"Ham";"http://www.riorock.be";"metal";"Field / Meadow";"http://www.facebook.com/pages/Rio-Rock-fanpage/168102899887170?sk=info";;"Jeroen Imbrechts";"jeroen@riorock.be";;;;;474321376
"5/4/2012 9:00:39";"Maanrock";"25/08/2012";2;"Mechelen";"http://www.maanrock.be";"Rock";"City / Town";"https://www.facebook.com/#!/groups/63897693648/";"Maanrock";"Ann Palstermans";"mechelse.feesten@mechelen.be";"#Maanrock";;;;15297868
"5/4/2012 9:22:48";"Musicalia Festival";"15/07/2012";5;"Gent";"http://www.musicaliamusic.be";"World";"Church";"https://www.facebook.com/pages/Musicalia-Festival/154447197956967";;"info@musicaliamusic.be";"debockcc@yahoo.com";;;;;497938808
"5/4/2012 9:25:28";"ANTILLIAANSE FEESTEN";"10/8/2012";2;"HOOGSTRATEN";"http://www.antilliaansefeesten.be";"World";"Field / Meadow";"http://www.facebook.com/pages/Antilliaanse-feesten/112970158735517";;"Lode Verschueren";"lo@antilliaansefeesten.be";;;;;"03 3143732"
"5/4/2012 9:39:37";"CrammerocK";"31-08-2012";2;"Stekene";"http://www.crammerock.be";"Rock";"Field / Meadow";"http://www.facebook.com/Crammerock";"crammerock";"Davey Rogiest";"davey@crammerock.be";"#CR12";;;;32479518018
"5/4/2012 9:41:55";"Gent Festival van Vlaanderen";"15/09/2012";5;"Ghent - East Flanders";"http://www.gentfestival.be";"Classical";"City / Town";"https://www.facebook.com/pages/Gent-Festival-van-Vlaanderen/149816345042835#!/gentfestivalvanvlaanderen";;"Christoph Vancalbergh";"gent@festival.be";"#gentfestival";;"http://www.flickr.com/photos/42664385@N05/";"http://www.youtube.com/user/GentFestival";"09/243.94.94"
"5/4/2012 9:57:19";"KlaraFestival";"31/08/2012";5;"Brussels - Antwerp - Bruges";"http://www.klarafestival.be";"Classical";"City / Town";"http://www.facebook.com/#!/pages/Klarafestival/113185702038620";"https://twitter.com/#!/klarafestival";"Festival van Vlaanderen Brussel";"info@festivalbrxl.be";"#klarafest";;"http://api.flickr.com/services/feeds/photos_public.gne?id=25921075@N06&lang=en-us&format=rss_200";"www.youtube.com/klarafestival";"0032 2 548 95 95"
"5/4/2012 11:39:22";"WOOSHA!";"14/07/2012";1;"Oostende";"http://www.woosha.be";"Rock";"Beach / Waterfront";"http://www.facebook.com/wooshaoostende";"@woosha_";"Pieter Hens";"pieter@visitoostende.be";"#woosha12";;;"http://www.youtube.com/user/wooshaostend.";32489317686
"5/4/2012 11:45:48";"Antwerp Open Air";"8/9/2012";1;"Antwerpen";"http://www.antwerpopenair.be";"Dance";"Woods / Forest";"http://www.facebook.com/events/111186818976052/#!/events/111186818976052/";;"Thomas Wijnen";"thomas@magicplaces.org";;;;;"0478 611 411"
"5/4/2012 12:49:19";"Genk on stage";"22/06/2012";3;"Genk";"http://www.genkonstage.be";"Rock";"City / Town";"http://www.facebook.com/genkonstage";"genkonstage";"Roel Rabijns";"roel.rabijns@genk.be";"#genkonstage";;"http://api.flickr.com/services/feeds/photos_public.gne?id=61506528@N04&lang=en-us&format=rss_200";"http://www.youtube.com/user/genkonstage2011";"089/654455"
"5/4/2012 14:54:20";"Pukkelpop";"16/08/2012";3;"Hasselt/Kiewit";"http://www.pukkelpop.be";"Rock, Dance";"Field / Meadow";"http://www.facebook.com/pukkelpop";"pukkelpop";"katriengoossens13@hotmail.com";"katrien@pukkelpop.be";"#pkp12";;"http://api.flickr.com/services/feeds/photos_public.gne?id=33374990@N07&lang=en-us&format=rss_200";"http://www.youtube.com/user/pukkelpopfestival";"0032 11 340502"
"5/4/2012 15:24:48";"MAfestival Brugge";"3/8/2012";5;"Bruges";"http://www.mafestival.be/";"Classical";"City / Town";"https://www.facebook.com/#!/profile.php?id=100002099198811";"MAfestivalBrugg";"Jelle De Ketelbutter";"jelle@mafestival.be";;;"http://api.flickr.com/services/feeds/photos_public.gne?id=41537744@N03&lang=en-us&format=rss_200";;"050 33 2 83"
